claim_id,state,district,anomaly_type,severity,description,evidence
FRA-10332,Maharashtra,Nashik,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.53 ha | Recorded: 1.5 ha | Difference: 6.03 ha (80.1%)
FRA-10338,Jharkhand,Ranchi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.07 ha | Recorded: 2.15 ha | Difference: 4.92 ha (69.6%)
FRA-10358,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.44 ha | Recorded: 2.48 ha | Difference: 5.96 ha (70.6%)
FRA-10397,Madhya Pradesh,Balaghat,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.11 ha | Recorded: 1.67 ha | Difference: 6.44 ha (79.4%)
FRA-10496,Maharashtra,Yavatmal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.55 ha | Recorded: 0.58 ha | Difference: 8.97 ha (93.9%)
FRA-10506,Madhya Pradesh,Betul,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.93 ha | Recorded: 1.93 ha | Difference: 9.00 ha (82.3%)
FRA-10542,Odisha,Koraput,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.23 ha | Recorded: 2.86 ha | Difference: 3.37 ha (54.1%)
FRA-10597,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.56 ha | Recorded: 1.26 ha | Difference: 9.30 ha (88.1%)
FRA-10663,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.89 ha | Recorded: 1.77 ha | Difference: 6.12 ha (77.6%)
FRA-10778,Rajasthan,Dungarpur,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.36 ha | Recorded: 2.63 ha | Difference: 2.73 ha (50.9%)
FRA-10833,Madhya Pradesh,Betul,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.09 ha | Recorded: 0.99 ha | Difference: 7.10 ha (87.8%)
FRA-10837,Gujarat,Narmada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.18 ha | Recorded: 2.49 ha | Difference: 5.69 ha (69.6%)
FRA-10845,Chhattisgarh,Surguja,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.57 ha | Recorded: 2.8 ha | Difference: 8.77 ha (75.8%)
FRA-10867,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.27 ha | Recorded: 1.43 ha | Difference: 5.84 ha (80.3%)
FRA-10911,Madhya Pradesh,Dindori,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.78 ha | Recorded: 2.05 ha | Difference: 3.73 ha (64.5%)
FRA-10918,Gujarat,Tapi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.54 ha | Recorded: 2.43 ha | Difference: 3.11 ha (56.1%)
FRA-10931,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.26 ha | Recorded: 1.42 ha | Difference: 7.84 ha (84.7%)
FRA-10935,Gujarat,Tapi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.27 ha | Recorded: 2.21 ha | Difference: 4.06 ha (64.8%)
FRA-10948,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.01 ha | Recorded: 2.2 ha | Difference: 2.81 ha (56.1%)
FRA-10974,Gujarat,Narmada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.48 ha | Recorded: 0.78 ha | Difference: 10.70 ha (93.2%)
FRA-10979,Odisha,Keonjhar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.2 ha | Recorded: 0.57 ha | Difference: 5.63 ha (90.8%)
FRA-11090,Madhya Pradesh,Mandla,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.78 ha | Recorded: 1.23 ha | Difference: 4.55 ha (78.7%)
FRA-11144,Gujarat,Narmada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.4 ha | Recorded: 2.79 ha | Difference: 6.61 ha (70.3%)
FRA-11177,Madhya Pradesh,Chhindwara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.1 ha | Recorded: 1.29 ha | Difference: 7.81 ha (85.8%)
FRA-11202,Odisha,Mayurbhanj,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.04 ha | Recorded: 2.11 ha | Difference: 2.93 ha (58.1%)
FRA-11209,Maharashtra,Gadchiroli,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.02 ha | Recorded: 2.52 ha | Difference: 5.50 ha (68.6%)
FRA-11258,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.47 ha | Recorded: 1.48 ha | Difference: 9.99 ha (87.1%)
FRA-11287,Gujarat,Tapi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.75 ha | Recorded: 2.09 ha | Difference: 5.66 ha (73.0%)
FRA-11312,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.35 ha | Recorded: 0.72 ha | Difference: 7.63 ha (91.4%)
FRA-11320,Gujarat,Dangs,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.71 ha | Recorded: 0.92 ha | Difference: 7.79 ha (89.4%)
FRA-11338,Chhattisgarh,Dantewada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.04 ha | Recorded: 2.82 ha | Difference: 4.22 ha (59.9%)
FRA-11372,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.07 ha | Recorded: 1.18 ha | Difference: 8.89 ha (88.3%)
FRA-11421,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.17 ha | Recorded: 0.58 ha | Difference: 7.59 ha (92.9%)
FRA-11446,Chhattisgarh,Dantewada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.28 ha | Recorded: 1.16 ha | Difference: 5.12 ha (81.5%)
FRA-11463,Jharkhand,Ranchi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.7 ha | Recorded: 2.72 ha | Difference: 8.98 ha (76.8%)
FRA-11469,Gujarat,Tapi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.03 ha | Recorded: 2.73 ha | Difference: 8.30 ha (75.2%)
FRA-11473,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.33 ha | Recorded: 1.85 ha | Difference: 6.48 ha (77.8%)
FRA-11475,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.99 ha | Recorded: 2.72 ha | Difference: 6.27 ha (69.7%)
FRA-11481,Maharashtra,Yavatmal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.8 ha | Recorded: 1.17 ha | Difference: 8.63 ha (88.1%)
FRA-11483,Chhattisgarh,Bastar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.2 ha | Recorded: 1.63 ha | Difference: 8.57 ha (84.0%)
FRA-11488,Chhattisgarh,Kanker,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.97 ha | Recorded: 0.84 ha | Difference: 5.13 ha (85.9%)
FRA-11502,Chhattisgarh,Kanker,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.33 ha | Recorded: 2.54 ha | Difference: 3.79 ha (59.9%)
FRA-11503,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.9 ha | Recorded: 1.24 ha | Difference: 5.66 ha (82.0%)
FRA-11525,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.94 ha | Recorded: 1.07 ha | Difference: 6.87 ha (86.5%)
FRA-11551,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.28 ha | Recorded: 1.68 ha | Difference: 7.60 ha (81.9%)
FRA-11555,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.87 ha | Recorded: 1.94 ha | Difference: 5.93 ha (75.3%)
FRA-11562,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.58 ha | Recorded: 1.3 ha | Difference: 4.28 ha (76.7%)
FRA-11575,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.1 ha | Recorded: 1.52 ha | Difference: 6.58 ha (81.2%)
FRA-11602,Madhya Pradesh,Dindori,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.31 ha | Recorded: 2.9 ha | Difference: 3.41 ha (54.0%)
FRA-11612,Jharkhand,Gumla,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.53 ha | Recorded: 0.96 ha | Difference: 5.57 ha (85.3%)
FRA-11643,Rajasthan,Sirohi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.74 ha | Recorded: 0.55 ha | Difference: 9.19 ha (94.4%)
FRA-11711,Odisha,Koraput,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.33 ha | Recorded: 2.33 ha | Difference: 9.00 ha (79.4%)
FRA-11761,Maharashtra,Yavatmal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.66 ha | Recorded: 1.47 ha | Difference: 7.19 ha (83.0%)
FRA-11796,Gujarat,Bharuch,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.69 ha | Recorded: 1.31 ha | Difference: 10.38 ha (88.8%)
FRA-11798,Jharkhand,Latehar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.42 ha | Recorded: 1.31 ha | Difference: 4.11 ha (75.8%)
FRA-11862,Maharashtra,Nashik,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.38 ha | Recorded: 3.0 ha | Difference: 3.38 ha (53.0%)
FRA-11869,Chhattisgarh,Kanker,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.47 ha | Recorded: 1.45 ha | Difference: 5.02 ha (77.6%)
FRA-11910,Chhattisgarh,Bastar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.99 ha | Recorded: 0.51 ha | Difference: 7.48 ha (93.6%)
FRA-11935,Gujarat,Bharuch,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.36 ha | Recorded: 1.18 ha | Difference: 9.18 ha (88.6%)
FRA-11988,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.25 ha | Recorded: 1.49 ha | Difference: 5.76 ha (79.4%)
FRA-12059,Rajasthan,Dungarpur,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.65 ha | Recorded: 1.32 ha | Difference: 8.33 ha (86.3%)
FRA-12100,Maharashtra,Nashik,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.64 ha | Recorded: 1.38 ha | Difference: 4.26 ha (75.5%)
FRA-12109,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.5 ha | Recorded: 2.07 ha | Difference: 8.43 ha (80.3%)
FRA-12148,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.24 ha | Recorded: 2.44 ha | Difference: 3.80 ha (60.9%)
FRA-12192,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.53 ha | Recorded: 0.79 ha | Difference: 6.74 ha (89.5%)
FRA-12228,Rajasthan,Dungarpur,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.25 ha | Recorded: 2.03 ha | Difference: 7.22 ha (78.1%)
FRA-12230,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.68 ha | Recorded: 1.06 ha | Difference: 6.62 ha (86.2%)
FRA-12236,Chhattisgarh,Dantewada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.16 ha | Recorded: 0.74 ha | Difference: 4.42 ha (85.7%)
FRA-12251,Maharashtra,Yavatmal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.94 ha | Recorded: 0.9 ha | Difference: 9.04 ha (90.9%)
FRA-12267,Jharkhand,Ranchi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.25 ha | Recorded: 1.72 ha | Difference: 4.53 ha (72.5%)
FRA-12291,Rajasthan,Udaipur,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.3 ha | Recorded: 1.42 ha | Difference: 6.88 ha (82.9%)
FRA-12311,Gujarat,Bharuch,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.93 ha | Recorded: 2.45 ha | Difference: 4.48 ha (64.6%)
FRA-12346,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.16 ha | Recorded: 2.08 ha | Difference: 7.08 ha (77.3%)
FRA-12355,Rajasthan,Pratapgarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.1 ha | Recorded: 0.93 ha | Difference: 10.17 ha (91.6%)
FRA-12395,Madhya Pradesh,Balaghat,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.51 ha | Recorded: 2.49 ha | Difference: 8.02 ha (76.3%)
FRA-12407,Chhattisgarh,Bastar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.37 ha | Recorded: 0.58 ha | Difference: 6.79 ha (92.1%)
FRA-12418,Maharashtra,Yavatmal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.17 ha | Recorded: 1.7 ha | Difference: 9.47 ha (84.8%)
FRA-12473,Jharkhand,Simdega,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.07 ha | Recorded: 2.83 ha | Difference: 6.24 ha (68.8%)
FRA-12504,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.33 ha | Recorded: 0.81 ha | Difference: 10.52 ha (92.9%)
FRA-12521,Maharashtra,Gadchiroli,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.06 ha | Recorded: 1.82 ha | Difference: 6.24 ha (77.4%)
FRA-12539,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.35 ha | Recorded: 1.86 ha | Difference: 6.49 ha (77.7%)
FRA-12570,Gujarat,Valsad,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.74 ha | Recorded: 1.46 ha | Difference: 8.28 ha (85.0%)
FRA-12575,Odisha,Mayurbhanj,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.55 ha | Recorded: 1.77 ha | Difference: 5.78 ha (76.6%)
FRA-12611,Madhya Pradesh,Balaghat,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.64 ha | Recorded: 1.15 ha | Difference: 10.49 ha (90.1%)
FRA-12668,Jharkhand,Latehar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 9.83 ha | Recorded: 1.6 ha | Difference: 8.23 ha (83.7%)
FRA-12697,Jharkhand,Latehar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.92 ha | Recorded: 1.42 ha | Difference: 7.50 ha (84.1%)
FRA-12711,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.73 ha | Recorded: 2.81 ha | Difference: 5.92 ha (67.8%)
FRA-12754,Odisha,Sundargarh,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.76 ha | Recorded: 2.38 ha | Difference: 5.38 ha (69.3%)
FRA-12783,Chhattisgarh,Kanker,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.18 ha | Recorded: 2.52 ha | Difference: 4.66 ha (64.9%)
FRA-12786,Madhya Pradesh,Mandla,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.81 ha | Recorded: 2.12 ha | Difference: 3.69 ha (63.5%)
FRA-12788,Maharashtra,Nashik,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.93 ha | Recorded: 1.55 ha | Difference: 10.38 ha (87.0%)
FRA-12838,Madhya Pradesh,Betul,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.34 ha | Recorded: 1.23 ha | Difference: 10.11 ha (89.2%)
FRA-12887,Gujarat,Tapi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.26 ha | Recorded: 1.61 ha | Difference: 4.65 ha (74.3%)
FRA-12939,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.95 ha | Recorded: 1.81 ha | Difference: 9.14 ha (83.5%)
FRA-12950,Gujarat,Narmada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.65 ha | Recorded: 2.48 ha | Difference: 9.17 ha (78.7%)
FRA-12954,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.42 ha | Recorded: 0.87 ha | Difference: 7.55 ha (89.7%)
FRA-13019,Gujarat,Dangs,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.31 ha | Recorded: 0.66 ha | Difference: 7.65 ha (92.1%)
FRA-13021,Madhya Pradesh,Balaghat,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.87 ha | Recorded: 2.36 ha | Difference: 8.51 ha (78.3%)
FRA-13039,Odisha,Koraput,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.71 ha | Recorded: 2.86 ha | Difference: 3.85 ha (57.4%)
FRA-13041,Jharkhand,Latehar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.44 ha | Recorded: 2.7 ha | Difference: 3.74 ha (58.1%)
FRA-13053,Madhya Pradesh,Dindori,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.69 ha | Recorded: 2.11 ha | Difference: 9.58 ha (82.0%)
FRA-13061,Maharashtra,Amravati,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.5 ha | Recorded: 1.73 ha | Difference: 9.77 ha (85.0%)
FRA-13082,Chhattisgarh,Surguja,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.94 ha | Recorded: 1.68 ha | Difference: 9.26 ha (84.6%)
FRA-13088,Chhattisgarh,Dantewada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.77 ha | Recorded: 0.81 ha | Difference: 9.96 ha (92.5%)
FRA-13107,Gujarat,Dangs,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.19 ha | Recorded: 1.63 ha | Difference: 3.56 ha (68.6%)
FRA-13110,Maharashtra,Amravati,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.99 ha | Recorded: 1.11 ha | Difference: 6.88 ha (86.1%)
FRA-13126,Maharashtra,Nandurbar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.78 ha | Recorded: 1.79 ha | Difference: 8.99 ha (83.4%)
FRA-13134,Odisha,Mayurbhanj,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.45 ha | Recorded: 2.03 ha | Difference: 4.42 ha (68.5%)
FRA-13154,Gujarat,Valsad,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.2 ha | Recorded: 1.08 ha | Difference: 6.12 ha (85.0%)
FRA-13186,Odisha,Keonjhar,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.53 ha | Recorded: 2.29 ha | Difference: 6.24 ha (73.2%)
FRA-13202,Chhattisgarh,Dantewada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.9 ha | Recorded: 1.84 ha | Difference: 9.06 ha (83.1%)
FRA-13237,Rajasthan,Sirohi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.94 ha | Recorded: 2.32 ha | Difference: 8.62 ha (78.8%)
FRA-13243,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.36 ha | Recorded: 2.33 ha | Difference: 4.03 ha (63.4%)
FRA-13258,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.32 ha | Recorded: 2.12 ha | Difference: 3.20 ha (60.2%)
FRA-13281,Rajasthan,Dungarpur,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.28 ha | Recorded: 2.48 ha | Difference: 7.80 ha (75.9%)
FRA-13318,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.25 ha | Recorded: 0.98 ha | Difference: 4.27 ha (81.3%)
FRA-13319,Gujarat,Narmada,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.96 ha | Recorded: 2.4 ha | Difference: 9.56 ha (79.9%)
FRA-13332,Madhya Pradesh,Chhindwara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.78 ha | Recorded: 2.49 ha | Difference: 8.29 ha (76.9%)
FRA-13337,Madhya Pradesh,Chhindwara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.28 ha | Recorded: 0.98 ha | Difference: 4.30 ha (81.4%)
FRA-13392,Madhya Pradesh,Dindori,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.45 ha | Recorded: 1.02 ha | Difference: 10.43 ha (91.1%)
FRA-13467,Jharkhand,Gumla,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.02 ha | Recorded: 1.16 ha | Difference: 8.86 ha (88.4%)
FRA-13509,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 10.39 ha | Recorded: 2.56 ha | Difference: 7.83 ha (75.4%)
FRA-13518,Rajasthan,Banswara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.73 ha | Recorded: 2.23 ha | Difference: 4.50 ha (66.9%)
FRA-13565,Odisha,Kandhamal,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.51 ha | Recorded: 2.46 ha | Difference: 3.05 ha (55.4%)
FRA-13572,Chhattisgarh,Korba,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 6.28 ha | Recorded: 2.12 ha | Difference: 4.16 ha (66.2%)
FRA-13596,Gujarat,Tapi,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 5.61 ha | Recorded: 2.73 ha | Difference: 2.88 ha (51.3%)
FRA-13630,Madhya Pradesh,Chhindwara,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 11.97 ha | Recorded: 2.53 ha | Difference: 9.44 ha (78.9%)
FRA-13637,Chhattisgarh,Kanker,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 7.85 ha | Recorded: 2.76 ha | Difference: 5.09 ha (64.8%)
FRA-13644,Madhya Pradesh,Mandla,LAND_MISMATCH,HIGH,Claimed land area differs significantly from the recorded land area.,Claimed: 8.51 ha | Recorded: 2.42 ha | Difference: 6.09 ha (71.6%)
