claim_id,state,district,village,claim_type,claimant_id,latitude,longitude,area_claimed,submission_date,last_updated,decision_date,status
FRA-10126,Rajasthan,Pratapgarh,Village-39,IFR,CLM-803787,24.360191,84.848805,7.61,2023-12-15,2024-10-29,,PENDING
FRA-10127,Jharkhand,Gumla,Village-487,CFRR,CLM-694799,22.01614,77.526882,1.45,2024-11-29,2024-12-21,,PENDING
FRA-10128,Maharashtra,Amravati,Village-59,CFRR,CLM-127172,22.046925,76.120146,1.53,2020-11-10,2021-09-04,2021-05-19,APPROVED
FRA-10129,Jharkhand,West Singhbhum,Village-252,CFRR,CLM-309902,19.499038,84.455986,3.85,2022-12-02,2023-12-02,,PENDING
FRA-10130,Gujarat,Dangs,Village-282,IFR,CLM-668507,22.174879,81.869256,6.58,2024-12-28,2025-02-15,2025-07-09,REJECTED
FRA-10131,Gujarat,Narmada,Village-122,CFR,CLM-928766,24.395928,82.900821,3.21,2021-12-14,2023-01-29,,UNDER_REVIEW
FRA-10132,Odisha,Sundargarh,Village-246,IFR,CLM-651231,20.28712,81.96167,5.09,2026-03-09,2026-05-19,2026-06-30,APPROVED
FRA-10133,Gujarat,Bharuch,Village-283,IFR,CLM-770872,18.398342,83.363172,3.99,2020-10-30,2021-06-22,,UNDER_REVIEW
FRA-10134,Chhattisgarh,Korba,Village-178,CFRR,CLM-644103,19.758625,81.866652,1.65,2021-05-23,2022-02-17,,PENDING
FRA-10135,Odisha,Koraput,Village-298,IFR,CLM-261684,21.986912,80.397606,2.77,2021-05-27,2022-04-17,2022-03-10,APPROVED
FRA-10136,Jharkhand,Latehar,Village-136,IFR,CLM-782759,24.139828,82.63778,6.98,2020-06-17,2021-08-18,,UNDER_REVIEW
FRA-10137,Chhattisgarh,Korba,Village-153,IFR,CLM-575575,23.132817,81.562386,5.31,2026-02-12,2026-06-30,2026-06-30,APPROVED
FRA-10138,Maharashtra,Amravati,Village-500,IFR,CLM-518084,22.639398,83.759717,1.58,2023-10-25,2024-09-04,2024-05-05,APPROVED
FRA-10139,Jharkhand,Latehar,Village-443,IFR,CLM-745270,17.854237,84.817311,3.87,2021-05-16,2021-10-04,,PENDING
FRA-10140,Gujarat,Narmada,Village-158,CFR,CLM-621530,21.103074,79.234496,6.22,2023-07-04,2023-10-14,,UNDER_REVIEW
FRA-10141,Chhattisgarh,Korba,Village-241,IFR,CLM-399628,23.676376,81.17825,0.88,2023-12-16,2024-01-14,,PENDING
FRA-10142,Chhattisgarh,Dantewada,Village-38,CFR,CLM-505116,18.862587,79.915287,0.84,2024-07-09,2025-01-17,2025-05-22,APPROVED
FRA-10143,Odisha,Sundargarh,Village-74,IFR,CLM-308727,21.404823,77.57008,3.3,2021-01-31,2021-08-25,,PENDING
FRA-10144,Madhya Pradesh,Mandla,Village-164,IFR,CLM-270395,18.478467,84.642109,3.93,2025-04-24,2026-01-19,2026-02-11,APPROVED
FRA-10145,Rajasthan,Banswara,Village-345,IFR,CLM-214928,23.210242,77.604473,4.17,2025-09-18,2026-06-22,2026-06-18,APPROVED
FRA-10146,Odisha,Mayurbhanj,Village-370,IFR,CLM-749840,20.863141,79.552904,2.21,2026-06-27,2026-06-30,,PENDING
FRA-10147,Gujarat,Narmada,Village-211,IFR,CLM-626195,18.560019,81.631253,0.64,2021-03-26,2021-07-06,,UNDER_REVIEW
FRA-10148,Rajasthan,Dungarpur,Village-182,IFR,CLM-808699,23.884869,77.279088,3.33,2025-05-13,2026-02-11,2026-02-02,APPROVED
FRA-10149,Chhattisgarh,Dantewada,Village-354,CFRR,CLM-839233,22.89822,81.811262,7.56,2023-05-07,2023-09-04,,PENDING
FRA-10150,Chhattisgarh,Kanker,Village-420,IFR,CLM-461899,20.157859,85.252007,1.41,2023-01-25,2023-06-26,,UNDER_REVIEW
FRA-10151,Madhya Pradesh,Balaghat,Village-478,CFRR,CLM-689318,18.914476,79.732224,2.42,2024-12-16,2025-11-21,,PENDING
FRA-10152,Madhya Pradesh,Chhindwara,Village-170,CFR,CLM-852204,19.129856,74.252474,7.29,2020-07-26,2021-07-08,,PENDING
FRA-10153,Rajasthan,Dungarpur,Village-494,IFR,CLM-401198,20.84214,75.4932,5.4,2021-10-08,2022-05-09,2022-07-08,APPROVED
FRA-10154,Rajasthan,Udaipur,Village-90,CFRR,CLM-538184,24.056686,84.415372,4.51,2026-06-09,2026-06-30,,PENDING
FRA-10155,Gujarat,Tapi,Village-172,CFR,CLM-398384,21.719481,84.605686,0.78,2023-03-31,2024-06-26,,PENDING
FRA-10156,Jharkhand,Latehar,Village-332,IFR,CLM-369761,19.814789,82.13899,2.55,2025-08-27,2026-04-28,,UNDER_REVIEW
FRA-10157,Rajasthan,Banswara,Village-45,CFR,CLM-520304,23.288929,79.441008,5.08,2022-03-02,2022-06-04,2022-10-25,APPROVED
FRA-10158,Maharashtra,Amravati,Village-371,IFR,CLM-700705,24.178244,76.774323,2.27,2022-12-04,2023-06-23,,PENDING
FRA-10159,Rajasthan,Banswara,Village-361,IFR,CLM-907236,21.017643,84.18898,2.8,2021-04-29,2021-12-28,,PENDING
FRA-10160,Rajasthan,Banswara,Village-282,IFR,CLM-593699,21.740173,78.19807,1.65,2021-07-01,2022-03-07,,PENDING
FRA-10161,Rajasthan,Sirohi,Village-281,CFR,CLM-630041,21.449181,73.771976,5.78,2025-01-03,2025-10-05,,PENDING
FRA-10162,Jharkhand,Gumla,Village-415,IFR,CLM-158338,18.136592,79.379692,5.6,2024-12-14,2025-02-16,2025-09-20,REJECTED
FRA-10163,Jharkhand,West Singhbhum,Village-382,IFR,CLM-328486,20.271641,83.205665,6.55,2025-03-08,2026-02-20,,PENDING
FRA-10164,Chhattisgarh,Kanker,Village-394,CFR,CLM-242007,17.722144,78.110837,7.21,2020-09-03,2021-12-30,2021-06-01,APPROVED
FRA-10165,Chhattisgarh,Surguja,Village-179,CFR,CLM-224395,21.275102,81.169176,5.62,2024-03-18,2024-05-03,,UNDER_REVIEW
FRA-10166,Chhattisgarh,Korba,Village-273,IFR,CLM-497700,22.214499,79.805567,0.67,2020-01-15,2021-02-10,,UNDER_REVIEW
FRA-10167,Chhattisgarh,Kanker,Village-9,IFR,CLM-352356,22.862374,84.046958,6.57,2021-04-07,2021-04-28,,PENDING
FRA-10168,Madhya Pradesh,Chhindwara,Village-398,IFR,CLM-159185,21.278319,82.429821,6.05,2020-07-18,2020-11-25,2020-12-14,APPROVED
FRA-10169,Odisha,Koraput,Village-339,CFR,CLM-646571,19.158328,83.953229,4.98,2023-07-30,2024-05-25,2024-02-09,APPROVED
FRA-10170,Odisha,Kandhamal,Village-330,IFR,CLM-803953,17.828189,77.305185,5.59,2021-12-18,2022-11-08,,UNDER_REVIEW
FRA-10171,Odisha,Keonjhar,Village-413,IFR,CLM-585517,19.605155,81.84471,4.53,2022-01-23,2023-02-18,2022-06-17,APPROVED
FRA-10172,Chhattisgarh,Surguja,Village-48,IFR,CLM-661654,23.955583,83.589167,2.03,2022-09-21,2023-02-03,,PENDING
FRA-10173,Odisha,Keonjhar,Village-446,IFR,CLM-449138,21.411953,78.992428,6.53,2020-10-25,2021-02-03,2021-11-02,APPROVED
FRA-10174,Maharashtra,Nandurbar,Village-283,CFRR,CLM-437237,18.931592,84.439081,2.32,2025-05-15,2026-06-30,,PENDING
FRA-10175,Chhattisgarh,Korba,Village-469,IFR,CLM-312994,20.786433,83.49664,7.12,2024-01-13,2024-10-06,2025-02-15,APPROVED
FRA-10176,Chhattisgarh,Bastar,Village-79,IFR,CLM-305721,21.554,78.219726,10.35,2021-08-20,2021-09-02,,PENDING
FRA-10177,Chhattisgarh,Korba,Village-87,CFR,CLM-868367,21.991861,79.132445,6.23,2023-10-14,2024-02-27,2024-11-17,APPROVED
FRA-10178,Maharashtra,Yavatmal,Village-419,IFR,CLM-800674,23.373479,73.92913,7.68,2026-01-29,2026-06-30,,UNDER_REVIEW
FRA-10179,Chhattisgarh,Dantewada,Village-479,CFR,CLM-746467,17.923151,80.971607,2.14,2021-09-10,2021-09-19,,PENDING
FRA-10180,Chhattisgarh,Bastar,Village-346,IFR,CLM-551488,17.619998,83.164465,4.47,2020-02-18,2020-03-02,2020-08-12,APPROVED
FRA-10181,Madhya Pradesh,Chhindwara,Village-208,IFR,CLM-581294,20.278275,77.663145,6.61,2021-01-31,2026-04-09,,PENDING
FRA-10182,Odisha,Mayurbhanj,Village-88,IFR,CLM-186702,17.892805,73.118127,3.54,2020-05-09,2020-06-30,2021-02-06,REJECTED
FRA-10183,Rajasthan,Banswara,Village-291,IFR,CLM-598598,23.808911,81.653596,4.46,2021-01-25,2022-05-03,2021-06-12,REJECTED
FRA-10184,Madhya Pradesh,Balaghat,Village-365,CFR,CLM-960778,21.609253,82.403181,7.47,2020-05-14,2020-08-18,2020-09-27,APPROVED
FRA-10185,Odisha,Koraput,Village-41,IFR,CLM-625119,23.033487,81.616382,8.23,2024-05-12,2025-04-28,2024-08-21,APPROVED
