land_record_id,claim_id,recorded_area,land_status,survey_reference
LR-10069,FRA-10069,2.81,REVENUE,SUR-74923
LR-10070,FRA-10070,6.26,REVENUE,SUR-19807
LR-10071,FRA-10071,2.96,UNCLASSIFIED,SUR-80912
LR-10072,FRA-10072,5.89,REVENUE,SUR-49251
LR-10073,FRA-10073,3.49,REVENUE,SUR-20350
LR-10074,FRA-10074,3.71,COMMUNITY,SUR-98815
LR-10075,FRA-10075,7.75,UNCLASSIFIED,SUR-23979
LR-10076,FRA-10076,7.82,FOREST,SUR-89482
LR-10077,FRA-10077,6.07,REVENUE,SUR-92345
LR-10078,FRA-10078,1.54,COMMUNITY,SUR-79579
LR-10079,FRA-10079,6.63,REVENUE,SUR-39571
LR-10080,FRA-10080,5.8,COMMUNITY,SUR-86619
LR-10081,FRA-10081,7.02,UNCLASSIFIED,SUR-49608
LR-10082,FRA-10082,7.31,COMMUNITY,SUR-97881
LR-10083,FRA-10083,3.3,COMMUNITY,SUR-38477
LR-10084,FRA-10084,3.37,UNCLASSIFIED,SUR-22015
LR-10085,FRA-10085,5.99,REVENUE,SUR-86858
LR-10086,FRA-10086,6.4,FOREST,SUR-27275
LR-10087,FRA-10087,1.64,UNCLASSIFIED,SUR-68756
LR-10088,FRA-10088,6.88,UNCLASSIFIED,SUR-94323
LR-10089,FRA-10089,1.32,FOREST,SUR-26540
LR-10090,FRA-10090,7.8,FOREST,SUR-95814
LR-10091,FRA-10091,2.1,UNCLASSIFIED,SUR-50963
LR-10092,FRA-10092,1.08,REVENUE,SUR-82924
LR-10093,FRA-10093,3.15,COMMUNITY,SUR-56090
LR-10094,FRA-10094,6.52,REVENUE,SUR-66244
LR-10095,FRA-10095,5.06,COMMUNITY,SUR-54541
LR-10096,FRA-10096,1.55,UNCLASSIFIED,SUR-69460
LR-10097,FRA-10097,1.03,UNCLASSIFIED,SUR-96761
LR-10098,FRA-10098,4.13,COMMUNITY,SUR-15952
LR-10099,FRA-10099,7.7,UNCLASSIFIED,SUR-66446
LR-10100,FRA-10100,6.89,UNCLASSIFIED,SUR-20205
LR-10101,FRA-10101,1.23,COMMUNITY,SUR-21551
LR-10102,FRA-10102,3.28,FOREST,SUR-79547
LR-10103,FRA-10103,1.19,REVENUE,SUR-92306
LR-10104,FRA-10104,7.32,COMMUNITY,SUR-29786
LR-10105,FRA-10105,0.9,COMMUNITY,SUR-20057
LR-10106,FRA-10106,4.75,COMMUNITY,SUR-89299
LR-10107,FRA-10107,6.89,REVENUE,SUR-67377
LR-10108,FRA-10108,2.52,COMMUNITY,SUR-18639
LR-10109,FRA-10109,7.2,REVENUE,SUR-55851
LR-10110,FRA-10110,4.67,FOREST,SUR-94675
LR-10111,FRA-10111,7.26,FOREST,SUR-48770
LR-10112,FRA-10112,5.63,REVENUE,SUR-67366
LR-10113,FRA-10113,2.67,UNCLASSIFIED,SUR-35430
LR-10114,FRA-10114,3.29,FOREST,SUR-94040
LR-10115,FRA-10115,1.31,UNCLASSIFIED,SUR-22021
LR-10116,FRA-10116,3.32,COMMUNITY,SUR-22987
LR-10117,FRA-10117,6.75,FOREST,SUR-20384
LR-10118,FRA-10118,1.25,UNCLASSIFIED,SUR-18232
LR-10119,FRA-10119,2.13,UNCLASSIFIED,SUR-34551
LR-10120,FRA-10120,4.51,UNCLASSIFIED,SUR-58929
LR-10121,FRA-10121,4.97,COMMUNITY,SUR-81567
LR-10122,FRA-10122,1.72,FOREST,SUR-36144
LR-10123,FRA-10123,2.43,COMMUNITY,SUR-45811
LR-10124,FRA-10124,7.29,COMMUNITY,SUR-20828
LR-10125,FRA-10125,2.47,UNCLASSIFIED,SUR-31842
LR-10126,FRA-10126,1.89,UNCLASSIFIED,SUR-57619
LR-10127,FRA-10127,1.36,FOREST,SUR-89310
LR-10128,FRA-10128,1.46,REVENUE,SUR-75410
LR-10129,FRA-10129,4.04,FOREST,SUR-27790
LR-10130,FRA-10130,6.88,COMMUNITY,SUR-49315
LR-10131,FRA-10131,3.0,UNCLASSIFIED,SUR-13445
LR-10132,FRA-10132,4.65,UNCLASSIFIED,SUR-63665
LR-10133,FRA-10133,3.9,REVENUE,SUR-26912
LR-10134,FRA-10134,1.53,COMMUNITY,SUR-20336
LR-10135,FRA-10135,2.71,REVENUE,SUR-96341
LR-10136,FRA-10136,6.37,REVENUE,SUR-84991
LR-10137,FRA-10137,5.02,FOREST,SUR-17852
LR-10138,FRA-10138,1.63,REVENUE,SUR-58567
LR-10139,FRA-10139,3.56,UNCLASSIFIED,SUR-42541
LR-10140,FRA-10140,6.06,FOREST,SUR-21802
LR-10141,FRA-10141,0.86,FOREST,SUR-24089
LR-10142,FRA-10142,0.76,UNCLASSIFIED,SUR-82070
LR-10143,FRA-10143,3.46,UNCLASSIFIED,SUR-75546
LR-10144,FRA-10144,3.89,UNCLASSIFIED,SUR-90805
LR-10145,FRA-10145,4.11,UNCLASSIFIED,SUR-86507
LR-10146,FRA-10146,2.01,UNCLASSIFIED,SUR-29369
LR-10147,FRA-10147,0.61,UNCLASSIFIED,SUR-18163
LR-10148,FRA-10148,3.47,COMMUNITY,SUR-89963
LR-10149,FRA-10149,7.92,UNCLASSIFIED,SUR-51555
LR-10150,FRA-10150,1.41,REVENUE,SUR-48070
LR-10151,FRA-10151,2.35,COMMUNITY,SUR-27992
LR-10152,FRA-10152,6.81,UNCLASSIFIED,SUR-23178
LR-10153,FRA-10153,5.57,COMMUNITY,SUR-47409
LR-10154,FRA-10154,4.55,REVENUE,SUR-14763
LR-10155,FRA-10155,0.74,UNCLASSIFIED,SUR-94058
LR-10156,FRA-10156,2.6,REVENUE,SUR-11846
LR-10157,FRA-10157,5.06,FOREST,SUR-34219
LR-10158,FRA-10158,2.3,FOREST,SUR-44282
LR-10159,FRA-10159,2.69,COMMUNITY,SUR-25389
LR-10160,FRA-10160,1.67,REVENUE,SUR-42435
LR-10161,FRA-10161,5.27,REVENUE,SUR-85065
LR-10162,FRA-10162,5.64,UNCLASSIFIED,SUR-27294
LR-10163,FRA-10163,6.61,FOREST,SUR-15936
LR-10164,FRA-10164,7.56,UNCLASSIFIED,SUR-59081
LR-10165,FRA-10165,5.62,REVENUE,SUR-80419
LR-10166,FRA-10166,0.63,REVENUE,SUR-42441
LR-10167,FRA-10167,6.33,REVENUE,SUR-18819
LR-10168,FRA-10168,5.81,REVENUE,SUR-76046
LR-10169,FRA-10169,4.98,REVENUE,SUR-64206
LR-10170,FRA-10170,5.5,UNCLASSIFIED,SUR-78742
LR-10171,FRA-10171,4.24,FOREST,SUR-83713
LR-10172,FRA-10172,2.02,REVENUE,SUR-16755
LR-10173,FRA-10173,6.45,COMMUNITY,SUR-12009
LR-10174,FRA-10174,2.3,COMMUNITY,SUR-59894
LR-10175,FRA-10175,6.91,COMMUNITY,SUR-51015
LR-10176,FRA-10176,1.93,COMMUNITY,SUR-40149
LR-10177,FRA-10177,6.06,COMMUNITY,SUR-32185
LR-10178,FRA-10178,7.52,FOREST,SUR-10836
LR-10179,FRA-10179,2.07,UNCLASSIFIED,SUR-96413
LR-10180,FRA-10180,4.21,REVENUE,SUR-24026
LR-10181,FRA-10181,6.21,REVENUE,SUR-39603
LR-10182,FRA-10182,3.39,UNCLASSIFIED,SUR-66873
LR-10183,FRA-10183,4.04,COMMUNITY,SUR-16102
LR-10184,FRA-10184,7.08,UNCLASSIFIED,SUR-20084
LR-10185,FRA-10185,0.57,COMMUNITY,SUR-17038
LR-10186,FRA-10186,2.94,UNCLASSIFIED,SUR-66603
LR-10187,FRA-10187,2.14,REVENUE,SUR-61068
LR-10188,FRA-10188,3.01,UNCLASSIFIED,SUR-23538
LR-10189,FRA-10189,3.2,REVENUE,SUR-84967
LR-10190,FRA-10190,2.31,FOREST,SUR-57333
LR-10191,FRA-10191,1.23,UNCLASSIFIED,SUR-53874
LR-10192,FRA-10192,2.99,REVENUE,SUR-52714
LR-10193,FRA-10193,4.68,UNCLASSIFIED,SUR-37479
LR-10194,FRA-10194,4.22,UNCLASSIFIED,SUR-19694
LR-10195,FRA-10195,7.43,FOREST,SUR-24335
LR-10196,FRA-10196,7.89,FOREST,SUR-11382
LR-10197,FRA-10197,5.28,REVENUE,SUR-55215
LR-10198,FRA-10198,1.41,UNCLASSIFIED,SUR-55652
LR-10199,FRA-10199,2.81,REVENUE,SUR-41970
LR-10200,FRA-10200,4.05,FOREST,SUR-90492
LR-10201,FRA-10201,2.6,COMMUNITY,SUR-52727
LR-10202,FRA-10202,7.33,UNCLASSIFIED,SUR-90918
LR-10203,FRA-10203,1.31,REVENUE,SUR-85340
LR-10204,FRA-10204,1.65,FOREST,SUR-73518
LR-10205,FRA-10205,4.22,FOREST,SUR-84107
LR-10206,FRA-10206,1.7,FOREST,SUR-85066
LR-10207,FRA-10207,6.04,REVENUE,SUR-49021
LR-10208,FRA-10208,6.41,UNCLASSIFIED,SUR-31755
LR-10209,FRA-10209,2.95,COMMUNITY,SUR-77425
LR-10210,FRA-10210,0.89,COMMUNITY,SUR-42447
LR-10211,FRA-10211,3.49,COMMUNITY,SUR-58374
LR-10212,FRA-10212,7.75,UNCLASSIFIED,SUR-38551
LR-10213,FRA-10213,4.23,FOREST,SUR-23051
LR-10214,FRA-10214,4.11,COMMUNITY,SUR-30837
LR-10215,FRA-10215,5.47,REVENUE,SUR-66260
LR-10216,FRA-10216,1.4,FOREST,SUR-65353
LR-10217,FRA-10217,5.99,REVENUE,SUR-94092
LR-10218,FRA-10218,2.92,FOREST,SUR-23168
LR-10219,FRA-10219,6.03,COMMUNITY,SUR-13515
LR-10220,FRA-10220,3.43,FOREST,SUR-79243
LR-10221,FRA-10221,3.25,FOREST,SUR-86986
LR-10222,FRA-10222,6.27,UNCLASSIFIED,SUR-20803
LR-10223,FRA-10223,1.13,FOREST,SUR-50654
LR-10224,FRA-10224,1.11,REVENUE,SUR-25655
LR-10225,FRA-10225,4.48,COMMUNITY,SUR-25473
LR-10226,FRA-10226,2.58,UNCLASSIFIED,SUR-84302
LR-10227,FRA-10227,5.53,FOREST,SUR-71835
LR-10228,FRA-10228,6.57,COMMUNITY,SUR-45554
LR-10229,FRA-10229,2.12,COMMUNITY,SUR-50723
LR-10230,FRA-10230,4.47,REVENUE,SUR-81638
LR-10231,FRA-10231,4.54,UNCLASSIFIED,SUR-50306
LR-10232,FRA-10232,1.0,UNCLASSIFIED,SUR-58823
LR-10233,FRA-10233,4.49,COMMUNITY,SUR-61505
LR-10234,FRA-10234,2.05,UNCLASSIFIED,SUR-51160
LR-10235,FRA-10235,2.64,FOREST,SUR-38183
LR-10236,FRA-10236,4.36,UNCLASSIFIED,SUR-82869
LR-10237,FRA-10237,0.6,FOREST,SUR-86326
LR-10238,FRA-10238,7.03,COMMUNITY,SUR-26059
LR-10239,FRA-10239,5.78,REVENUE,SUR-46042
LR-10240,FRA-10240,2.61,REVENUE,SUR-64949
LR-10241,FRA-10241,0.62,COMMUNITY,SUR-84141
LR-10242,FRA-10242,2.21,COMMUNITY,SUR-86544
LR-10243,FRA-10243,6.87,UNCLASSIFIED,SUR-56504
LR-10244,FRA-10244,4.97,UNCLASSIFIED,SUR-81057
LR-10245,FRA-10245,2.09,REVENUE,SUR-54663
LR-10246,FRA-10246,0.65,FOREST,SUR-58967
LR-10247,FRA-10247,7.9,REVENUE,SUR-83659
LR-10248,FRA-10248,2.81,UNCLASSIFIED,SUR-84381
LR-10249,FRA-10249,4.93,COMMUNITY,SUR-32005
LR-10250,FRA-10250,0.55,FOREST,SUR-16310
LR-10251,FRA-10251,0.85,REVENUE,SUR-31319
LR-10252,FRA-10252,2.25,FOREST,SUR-81702
LR-10253,FRA-10253,0.76,COMMUNITY,SUR-36941
LR-10254,FRA-10254,5.15,REVENUE,SUR-17144
LR-10255,FRA-10255,1.15,COMMUNITY,SUR-62096
LR-10256,FRA-10256,1.95,UNCLASSIFIED,SUR-44524
LR-10257,FRA-10257,5.63,FOREST,SUR-60738
LR-10258,FRA-10258,6.91,REVENUE,SUR-25765
LR-10259,FRA-10259,1.77,REVENUE,SUR-87994
LR-10260,FRA-10260,3.27,UNCLASSIFIED,SUR-24748
LR-10261,FRA-10261,1.31,COMMUNITY,SUR-60206
LR-10262,FRA-10262,0.65,REVENUE,SUR-16460
LR-10263,FRA-10263,6.27,REVENUE,SUR-27614
LR-10264,FRA-10264,4.96,COMMUNITY,SUR-17367
LR-10265,FRA-10265,6.21,FOREST,SUR-42701
LR-10266,FRA-10266,3.16,COMMUNITY,SUR-74066
LR-10267,FRA-10267,3.16,UNCLASSIFIED,SUR-16507
LR-10268,FRA-10268,2.04,FOREST,SUR-72140
LR-10269,FRA-10269,6.19,COMMUNITY,SUR-70161
LR-10270,FRA-10270,1.24,COMMUNITY,SUR-49121
LR-10271,FRA-10271,2.77,REVENUE,SUR-77802
LR-10272,FRA-10272,2.67,UNCLASSIFIED,SUR-60891
LR-10273,FRA-10273,5.55,COMMUNITY,SUR-76494
LR-10274,FRA-10274,1.13,COMMUNITY,SUR-95778
LR-10275,FRA-10275,6.09,FOREST,SUR-93151
LR-10276,FRA-10276,1.4,REVENUE,SUR-28004
LR-10277,FRA-10277,2.89,FOREST,SUR-10617
LR-10278,FRA-10278,1.72,UNCLASSIFIED,SUR-72573
LR-10279,FRA-10279,0.58,REVENUE,SUR-39657
LR-10280,FRA-10280,2.55,COMMUNITY,SUR-66841
LR-10281,FRA-10281,1.99,REVENUE,SUR-37681
LR-10282,FRA-10282,4.87,FOREST,SUR-87846
LR-10283,FRA-10283,3.52,FOREST,SUR-49467
LR-10284,FRA-10284,6.16,FOREST,SUR-75239
LR-10285,FRA-10285,3.06,UNCLASSIFIED,SUR-53332
LR-10286,FRA-10286,2.49,FOREST,SUR-43540
LR-10287,FRA-10287,0.9,COMMUNITY,SUR-65836
LR-10288,FRA-10288,6.89,COMMUNITY,SUR-22183
LR-10289,FRA-10289,6.79,FOREST,SUR-27368
LR-10290,FRA-10290,7.13,COMMUNITY,SUR-90131
LR-10291,FRA-10291,0.79,REVENUE,SUR-97797
LR-10292,FRA-10292,5.12,FOREST,SUR-11526
LR-10293,FRA-10293,1.76,REVENUE,SUR-82154
LR-10294,FRA-10294,6.3,FOREST,SUR-23453
LR-10295,FRA-10295,4.99,UNCLASSIFIED,SUR-54676
LR-10296,FRA-10296,6.2,REVENUE,SUR-10287
LR-10297,FRA-10297,4.43,UNCLASSIFIED,SUR-24019
LR-10298,FRA-10298,4.0,FOREST,SUR-69048
LR-10299,FRA-10299,4.06,REVENUE,SUR-85832
LR-10300,FRA-10300,6.85,COMMUNITY,SUR-48557
LR-10301,FRA-10301,6.7,REVENUE,SUR-37487
LR-10302,FRA-10302,5.62,FOREST,SUR-56168
LR-10303,FRA-10303,6.27,FOREST,SUR-13312
LR-10304,FRA-10304,6.69,COMMUNITY,SUR-36738
LR-10305,FRA-10305,7.09,COMMUNITY,SUR-97096
LR-10306,FRA-10306,4.19,REVENUE,SUR-93071
LR-10307,FRA-10307,5.52,FOREST,SUR-59440
LR-10308,FRA-10308,6.17,COMMUNITY,SUR-88234
LR-10309,FRA-10309,3.25,REVENUE,SUR-64516
LR-10310,FRA-10310,2.85,FOREST,SUR-25036
LR-10311,FRA-10311,0.83,COMMUNITY,SUR-80809
LR-10312,FRA-10312,6.3,FOREST,SUR-22577
LR-10313,FRA-10313,4.86,UNCLASSIFIED,SUR-94746
LR-10314,FRA-10314,2.73,REVENUE,SUR-43901
LR-10315,FRA-10315,3.14,FOREST,SUR-19514
LR-10316,FRA-10316,1.17,REVENUE,SUR-79922
LR-10317,FRA-10317,7.1,COMMUNITY,SUR-11461
LR-10318,FRA-10318,3.4,COMMUNITY,SUR-37752
LR-10319,FRA-10319,1.36,UNCLASSIFIED,SUR-94498
LR-10320,FRA-10320,5.78,FOREST,SUR-47373
LR-10321,FRA-10321,4.84,UNCLASSIFIED,SUR-32103
LR-10322,FRA-10322,6.26,COMMUNITY,SUR-50038
LR-10323,FRA-10323,2.66,FOREST,SUR-12441
LR-10324,FRA-10324,5.84,REVENUE,SUR-57948
LR-10325,FRA-10325,3.9,REVENUE,SUR-77388
LR-10326,FRA-10326,6.49,REVENUE,SUR-18239
LR-10327,FRA-10327,6.17,FOREST,SUR-78337
LR-10328,FRA-10328,1.8,COMMUNITY,SUR-59326
LR-10329,FRA-10329,6.65,FOREST,SUR-77441
LR-10330,FRA-10330,5.4,UNCLASSIFIED,SUR-98503
LR-10331,FRA-10331,2.14,REVENUE,SUR-17328
LR-10332,FRA-10332,1.5,REVENUE,SUR-68877
LR-10333,FRA-10333,1.55,REVENUE,SUR-99861
LR-10334,FRA-10334,1.34,REVENUE,SUR-89365
LR-10335,FRA-10335,6.22,FOREST,SUR-98940
LR-10336,FRA-10336,4.18,FOREST,SUR-65769
LR-10337,FRA-10337,4.9,FOREST,SUR-85757
LR-10338,FRA-10338,2.15,UNCLASSIFIED,SUR-84012
LR-10339,FRA-10339,4.56,COMMUNITY,SUR-62183
LR-10340,FRA-10340,6.64,FOREST,SUR-31068
LR-10341,FRA-10341,4.57,UNCLASSIFIED,SUR-62513
LR-10342,FRA-10342,5.84,COMMUNITY,SUR-35525
LR-10343,FRA-10343,0.72,UNCLASSIFIED,SUR-56285
LR-10344,FRA-10344,6.0,COMMUNITY,SUR-55544
LR-10345,FRA-10345,3.18,COMMUNITY,SUR-54560
LR-10346,FRA-10346,5.97,UNCLASSIFIED,SUR-99337
LR-10347,FRA-10347,3.43,COMMUNITY,SUR-77699
LR-10348,FRA-10348,3.53,COMMUNITY,SUR-56338
LR-10349,FRA-10349,5.64,REVENUE,SUR-91080
LR-10350,FRA-10350,7.47,UNCLASSIFIED,SUR-58653
LR-10351,FRA-10351,2.37,REVENUE,SUR-17097
LR-10352,FRA-10352,3.46,COMMUNITY,SUR-11103
LR-10353,FRA-10353,6.46,COMMUNITY,SUR-57962
LR-10354,FRA-10354,6.51,FOREST,SUR-45382
LR-10355,FRA-10355,6.57,COMMUNITY,SUR-73782
LR-10356,FRA-10356,5.16,COMMUNITY,SUR-44048
LR-10357,FRA-10357,0.6,REVENUE,SUR-47304
LR-10358,FRA-10358,2.48,COMMUNITY,SUR-65288
LR-10359,FRA-10359,1.6,UNCLASSIFIED,SUR-45553
LR-10360,FRA-10360,1.8,FOREST,SUR-37600
LR-10361,FRA-10361,0.91,REVENUE,SUR-21050
LR-10362,FRA-10362,4.78,COMMUNITY,SUR-72410
LR-10363,FRA-10363,5.31,UNCLASSIFIED,SUR-78610
LR-10364,FRA-10364,6.32,REVENUE,SUR-55073
LR-10365,FRA-10365,5.83,COMMUNITY,SUR-34716
LR-10366,FRA-10366,3.14,COMMUNITY,SUR-47313
LR-10367,FRA-10367,1.39,REVENUE,SUR-52027
LR-10368,FRA-10368,2.41,UNCLASSIFIED,SUR-38467
LR-10369,FRA-10369,5.18,UNCLASSIFIED,SUR-19356
LR-10370,FRA-10370,3.03,FOREST,SUR-36106
LR-10371,FRA-10371,5.31,FOREST,SUR-43202
LR-10372,FRA-10372,2.19,REVENUE,SUR-11170
LR-10373,FRA-10373,5.89,FOREST,SUR-17834
LR-10374,FRA-10374,2.36,REVENUE,SUR-12798
LR-10375,FRA-10375,5.71,COMMUNITY,SUR-52425
LR-10376,FRA-10376,0.94,UNCLASSIFIED,SUR-34318
LR-10377,FRA-10377,5.9,REVENUE,SUR-90352
LR-10378,FRA-10378,4.93,REVENUE,SUR-22943
LR-10379,FRA-10379,5.12,REVENUE,SUR-95950
LR-10380,FRA-10380,6.28,FOREST,SUR-19225
LR-10381,FRA-10381,1.18,REVENUE,SUR-83193
LR-10382,FRA-10382,5.59,UNCLASSIFIED,SUR-76151
LR-10383,FRA-10383,3.0,COMMUNITY,SUR-89745
LR-10384,FRA-10384,5.8,COMMUNITY,SUR-88087
LR-10385,FRA-10385,7.35,COMMUNITY,SUR-82569
LR-10386,FRA-10386,3.65,COMMUNITY,SUR-22046
LR-10387,FRA-10387,2.86,FOREST,SUR-88018
LR-10388,FRA-10388,6.59,REVENUE,SUR-95561
LR-10389,FRA-10389,2.53,REVENUE,SUR-16621
LR-10390,FRA-10390,1.14,FOREST,SUR-81847
LR-10391,FRA-10391,1.49,REVENUE,SUR-41760
LR-10392,FRA-10392,1.29,FOREST,SUR-49953
LR-10393,FRA-10393,1.44,FOREST,SUR-24728
LR-10394,FRA-10394,6.36,FOREST,SUR-53499
LR-10395,FRA-10395,4.16,FOREST,SUR-43483
LR-10396,FRA-10396,4.16,COMMUNITY,SUR-24141
LR-10397,FRA-10397,1.67,REVENUE,SUR-75621
LR-10398,FRA-10398,4.25,COMMUNITY,SUR-56580
LR-10399,FRA-10399,6.55,COMMUNITY,SUR-39567
LR-10400,FRA-10400,3.52,REVENUE,SUR-65897
LR-10401,FRA-10401,1.51,REVENUE,SUR-66369
LR-10402,FRA-10402,0.99,FOREST,SUR-51771
LR-10403,FRA-10403,5.81,REVENUE,SUR-88166
LR-10404,FRA-10404,4.23,UNCLASSIFIED,SUR-28024
LR-10405,FRA-10405,2.42,UNCLASSIFIED,SUR-90879
LR-10406,FRA-10406,6.26,FOREST,SUR-78242
LR-10407,FRA-10407,4.75,REVENUE,SUR-48165
LR-10408,FRA-10408,1.65,UNCLASSIFIED,SUR-21854
LR-10409,FRA-10409,3.27,UNCLASSIFIED,SUR-21820
LR-10410,FRA-10410,5.48,UNCLASSIFIED,SUR-77065
LR-10411,FRA-10411,3.1,FOREST,SUR-64995
LR-10412,FRA-10412,1.92,FOREST,SUR-70115
LR-10413,FRA-10413,2.13,FOREST,SUR-42075
LR-10414,FRA-10414,1.72,COMMUNITY,SUR-53399
LR-10415,FRA-10415,2.63,UNCLASSIFIED,SUR-85886
LR-10416,FRA-10416,3.04,FOREST,SUR-45968
LR-10417,FRA-10417,0.93,COMMUNITY,SUR-65974
LR-10418,FRA-10418,1.45,REVENUE,SUR-48074
LR-10419,FRA-10419,7.0,REVENUE,SUR-11480
LR-10420,FRA-10420,2.7,UNCLASSIFIED,SUR-84569
LR-10421,FRA-10421,5.75,UNCLASSIFIED,SUR-80381
LR-10422,FRA-10422,4.34,COMMUNITY,SUR-56346
LR-10423,FRA-10423,4.17,COMMUNITY,SUR-51222
LR-10424,FRA-10424,4.06,FOREST,SUR-36489
LR-10425,FRA-10425,2.0,REVENUE,SUR-36894
LR-10426,FRA-10426,0.55,FOREST,SUR-23513
LR-10427,FRA-10427,1.89,REVENUE,SUR-30643
LR-10428,FRA-10428,1.95,REVENUE,SUR-32449
LR-10429,FRA-10429,1.44,UNCLASSIFIED,SUR-33459
LR-10430,FRA-10430,3.01,UNCLASSIFIED,SUR-84421
LR-10431,FRA-10431,3.93,REVENUE,SUR-90863
LR-10432,FRA-10432,6.6,UNCLASSIFIED,SUR-32387
LR-10433,FRA-10433,6.76,UNCLASSIFIED,SUR-62535
LR-10434,FRA-10434,3.21,COMMUNITY,SUR-81372
LR-10435,FRA-10435,4.1,COMMUNITY,SUR-63188
LR-10436,FRA-10436,4.21,FOREST,SUR-29231
LR-10437,FRA-10437,1.97,UNCLASSIFIED,SUR-55123
LR-10438,FRA-10438,1.38,COMMUNITY,SUR-24378
LR-10439,FRA-10439,2.77,UNCLASSIFIED,SUR-28228
LR-10440,FRA-10440,2.74,REVENUE,SUR-73792
LR-10441,FRA-10441,6.73,REVENUE,SUR-69558
